Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  8.33      0.19     0.19 71047569     0.00     0.00  Minisat::StreamBuffer::operator*() const
  5.70      0.32     0.13  1054170     0.00     0.00  Minisat::Solver::addClause_(Minisat::vec<Minisat::Lit>&)
  4.39      0.42     0.10  3730367     0.00     0.00  aalta_formula::oper() const
  3.07      0.49     0.07  1625532     0.00     0.00  Minisat::vec<char>::growTo(int, char const&)
  2.63      0.55     0.06  6345718     0.00     0.00  Minisat::vec<Minisat::lbool>::operator[](int) const
  2.63      0.61     0.06  3793092     0.00     0.00  int Minisat::parseInt<Minisat::StreamBuffer>(Minisat::StreamBuffer&)
  2.19      0.66     0.05  1312441     0.00     0.00  aalta_formula::operator==(aalta_formula const&) const
  2.19      0.71     0.05     2733     0.00     0.00  Minisat::StreamBuffer::StreamBuffer(gzFile_s*)
  1.75      0.75     0.04  6221882     0.00     0.00  Minisat::lbool::operator==(Minisat::lbool) const
  1.32      0.78     0.03 13665209     0.00     0.00  Minisat::StreamBuffer::assureLookahead()
  1.32      0.81     0.03 12701399     0.00     0.00  Minisat::vec<Minisat::Lit>::operator[](int)
  1.32      0.84     0.03  2408212     0.00     0.00  std::tr1::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  1.32      0.87     0.03  2356203     0.00     0.00  Minisat::lbool::operator!=(Minisat::lbool) const
  1.32      0.90     0.03  1054170     0.00     0.00  void Minisat::readClause<Minisat::StreamBuffer, Minisat::Solver>(Minisat::StreamBuffer&, Minisat::Solver&, Minisat::vec<Minisat::Lit>&)
  1.32      0.93     0.03   888813     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  1.32      0.96     0.03   470066     0.00     0.00  Minisat::Solver::attachClause(unsigned int)
  1.32      0.99     0.03     2733     0.00     0.00  void Minisat::parse_DIMACS_main<Minisat::StreamBuffer, Minisat::Solver>(Minisat::StreamBuffer&, Minisat::Solver&)
  0.88      1.01     0.02 13052144     0.00     0.00  Minisat::lbool::lbool(unsigned char)
  0.88      1.03     0.02  5893707     0.00     0.00  Minisat::lbool::operator^(bool) const
  0.88      1.05     0.02  5893707     0.00     0.00  Minisat::Solver::value(Minisat::Lit) const
  0.88      1.07     0.02  5313654     0.00     0.00  Minisat::vec<int>::size() const
  0.88      1.09     0.02  4852728     0.00     0.00  void Minisat::skipWhitespace<Minisat::StreamBuffer>(Minisat::StreamBuffer&)
  0.88      1.11     0.02  4654155     0.00     0.00  Minisat::mkLit(int, bool)
  0.88      1.13     0.02  3642416     0.00     0.00  operator new(unsigned long, void*)
  0.88      1.15     0.02  2826036     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.88      1.17     0.02  2773860     0.00     0.00  Minisat::vec<Minisat::Lit>::push(Minisat::Lit const&)
  0.88      1.19     0.02  1846533     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::inHeap(int) const
  0.88      1.21     0.02  1625532     0.00     0.00  Minisat::vec<Minisat::vec<Minisat::Solver::Watcher> >::capacity(int)
  0.88      1.23     0.02  1625532     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::init(Minisat::Lit const&)
  0.88      1.25     0.02  1171014     0.00     0.00  Minisat::vec<int>::push(int const&)
  0.88      1.27     0.02  1134892     0.00     0.00  aalta_formula::operator=(aalta_formula const&)
  0.88      1.29     0.02   934693     0.00     0.00  void Minisat::selectionSort<Minisat::Lit, Minisat::LessThan_default<Minisat::Lit> >(Minisat::Lit*, int, Minisat::LessThan_default<Minisat::Lit>)
  0.88      1.31     0.02   912784     0.00     0.00  std::equal_to<aalta_formula>::operator()(aalta_formula const&, aalta_formula const&) const
  0.88      1.33     0.02   906008     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::percolateUp(int)
  0.88      1.35     0.02   855661     0.00     0.00  Minisat::vec<int>::capacity(int)
  0.88      1.37     0.02   715392     0.00     0.00  std::tr1::__detail::_Map_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, true, std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true> >::operator[](int const&)
  0.88      1.39     0.02   628006     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::capacity(int)
  0.88      1.41     0.02   443113     0.00     0.00  Minisat::Solver::propagate()
  0.88      1.43     0.02   326919     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::end()
  0.88      1.45     0.02   288774     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::find(aalta_formula* const&)
  0.88      1.47     0.02   135666     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_insert(aalta_formula* const&, std::tr1::integral_constant<bool, true>)
  0.88      1.49     0.02   113425     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::~_Hashtable()
  0.88      1.51     0.02    16219     0.00     0.00  unsigned long const* std::lower_bound<unsigned long const*, float>(unsigned long const*, unsigned long const*, float const&)
  0.88      1.53     0.02     2733     0.00     0.00  aalta_formula::plus(std::tr1::unordered_map<int, aalta_formula*, std::tr1::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, aalta_formula*> > >&, std::tr1::unordered_map<aalta_formula, int, aalta_formula::af_hash, std::equal_to<aalta_formula>, std::allocator<std::pair<aalta_formula const, int> > >&, int&, int&, int)
  0.88      1.55     0.02      702     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::build(Minisat::vec<int>&)
  0.88      1.57     0.02        4     0.01     0.01  std::tr1::_Hashtable<aalta_formula*, std::pair<aalta_formula* const, aalta_formula*>, std::allocator<std::pair<aalta_formula* const, aalta_formula*> >, std::_Select1st<std::pair<aalta_formula* const, aalta_formula*> >, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::size() const
  0.44      1.58     0.01 13662476     0.00     0.00  Minisat::StreamBuffer::operator++()
  0.44      1.59     0.01 10095469     0.00     0.00  Minisat::vec<Minisat::Lit>::size() const
  0.44      1.60     0.01  7838059     0.00     0.00  Minisat::vec<int>::operator[](int)
  0.44      1.61     0.01  7300128     0.00     0.00  Minisat::var(Minisat::Lit)
  0.44      1.62     0.01  5230528     0.00     0.00  Minisat::toInt(Minisat::Lit)
  0.44      1.63     0.01  5064012     0.00     0.00  Minisat::operator~(Minisat::Lit)
  0.44      1.64     0.01  4985120     0.00     0.00  Minisat::vec<Minisat::Solver::VarData>::size() const
  0.44      1.65     0.01  3209648     0.00     0.00  Minisat::vec<char>::operator[](int)
  0.44      1.66     0.01  2738926     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.44      1.67     0.01  2522959     0.00     0.00  Minisat::Clause::operator[](int) const
  0.44      1.68     0.01  2482234     0.00     0.00  Minisat::vec<double>::operator[](int) const
  0.44      1.69     0.01  2020143     0.00     0.00  Minisat::Clause::size() const
  0.44      1.70     0.01  2019414     0.00     0.00  Minisat::Lit::operator<(Minisat::Lit) const
  0.44      1.71     0.01  1996307     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.44      1.72     0.01  1799838     0.00     0.00  Minisat::vec<Minisat::vec<Minisat::Solver::Watcher> >::operator[](int)
  0.44      1.73     0.01  1760262     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::operator[](Minisat::Lit const&)
  0.44      1.74     0.01  1729276     0.00     0.00  Minisat::Lit::operator!=(Minisat::Lit) const
  0.44      1.75     0.01  1625532     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::clear(bool)
  0.44      1.76     0.01  1209618     0.00     0.00  Minisat::RegionAllocator<unsigned int>::operator[](unsigned int)
  0.44      1.77     0.01  1134892     0.00     0.00  aalta_formula::aalta_formula(aalta_formula const&)
  0.44      1.78     0.01  1108971     0.00     0.00  Minisat::Solver::Watcher::Watcher(unsigned int, Minisat::Lit)
  0.44      1.79     0.01  1003413     0.00     0.00  Minisat::Clause::operator[](int)
  0.44      1.80     0.01   935161     0.00     0.00  Minisat::Solver::insertVarOrder(int)
  0.44      1.81     0.01   835571     0.00     0.00  Minisat::vec<Minisat::lbool>::operator[](int)
  0.44      1.82     0.01   815499     0.00     0.00  std::tr1::_Hashtable<aalta_formula, std::pair<aalta_formula const, int>, std::allocator<std::pair<aalta_formula const, int> >, std::_Select1st<std::pair<aalta_formula const, int> >, std::equal_to<aalta_formula>, aalta_formula::af_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::end()
  0.44      1.83     0.01   815499     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<std::pair<aalta_formula const, int>, false, false>::_Hashtable_iterator(std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>**)
  0.44      1.84     0.01   812766     0.00     0.00  Minisat::vec<Minisat::Solver::VarData>::push(Minisat::Solver::VarData const&)
  0.44      1.85     0.01   812766     0.00     0.00  Minisat::Solver::newVar(bool, bool)
  0.44      1.86     0.01   715392     0.00     0.00  aalta_formula::search(aalta_formula, std::tr1::unordered_map<aalta_formula, int, aalta_formula::af_hash, std::equal_to<aalta_formula>, std::allocator<std::pair<aalta_formula const, int> > >&, int&)
  0.44      1.87     0.01   715392     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<std::pair<aalta_formula const, int>, false, false>::operator->() const
  0.44      1.88     0.01   630194     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_get_Value_allocator() const
  0.44      1.89     0.01   609648     0.00     0.00  Minisat::Clause::learnt() const
  0.44      1.90     0.01   585356     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::shrink(int)
  0.44      1.91     0.01   550958     0.00     0.00  Minisat::lbool::lbool(bool)
  0.44      1.92     0.01   550958     0.00     0.00  Minisat::Solver::uncheckedEnqueue(Minisat::Lit, unsigned int)
  0.44      1.93     0.01   522098     0.00     0.00  Minisat::RegionAllocator<unsigned int>::lea(unsigned int)
  0.44      1.94     0.01   470066     0.00     0.00  unsigned int Minisat::ClauseAllocator::alloc<Minisat::vec<Minisat::Lit> >(Minisat::vec<Minisat::Lit> const&, bool)
  0.44      1.95     0.01   470066     0.00     0.00  Minisat::vec<unsigned int>::push(unsigned int const&)
  0.44      1.96     0.01   443528     0.00     0.00  Minisat::OccLists<Minisat::Lit, Minisat::vec<Minisat::Solver::Watcher>, Minisat::Solver::WatcherDeleted>::cleanAll()
  0.44      1.97     0.01   399657     0.00     0.00  aalta_formula::af_prt_eq::operator()(aalta_formula const*, aalta_formula const*) const
  0.44      1.98     0.01   399570     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula*, aalta_formula*, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_compare(aalta_formula* const&, unsigned long, std::tr1::__detail::_Hash_node<aalta_formula*, false>*) const
  0.44      1.99     0.01   389646     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<std::pair<int const, aalta_formula*>, false>::_Hashtable_iterator_base(std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>*, std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>**)
  0.44      2.00     0.01   378311     0.00     0.00  std::tr1::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
  0.44      2.01     0.01   362092     0.00     0.00  std::pair<bool, int> std::make_pair<bool, int>(bool, int)
  0.44      2.02     0.01   319339     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::right(int)
  0.44      2.03     0.01   315221     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_allocate_node(aalta_formula* const&)
  0.44      2.04     0.01   314973     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_deallocate_node(std::tr1::__detail::_Hash_node<aalta_formula*, false>*)
  0.44      2.05     0.01   288774     0.00     0.00  aalta_formula::clc_hash()
  0.44      2.06     0.01   288702     0.00     0.00  aalta_formula::aalta_formula(int, aalta_formula*, aalta_formula*, std::list<aalta_formula*, std::allocator<aalta_formula*> >*)
  0.44      2.07     0.01   154738     0.00     0.00  std::pair<std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>, bool>::pair(std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false> const&, bool const&)
  0.44      2.08     0.01   154242     0.00     0.00  aalta_formula::minus(std::tr1::unordered_map<int, aalta_formula*, std::tr1::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, aalta_formula*> > >&, std::tr1::unordered_map<aalta_formula, int, aalta_formula::af_hash, std::equal_to<aalta_formula>, std::allocator<std::pair<aalta_formula const, int> > >&, int&, int&, int)
  0.44      2.09     0.01   140184     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::percolateDown(int)
  0.44      2.10     0.01   133188     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_deallocate_nodes(std::tr1::__detail::_Hash_node<aalta_formula*, false>**, unsigned long)
  0.44      2.11     0.01   133188     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::clear()
  0.44      2.12     0.01   100107     0.00     0.00  std::tr1::_Hashtable<aalta_formula, std::pair<aalta_formula const, int>, std::allocator<std::pair<aalta_formula const, int> >, std::_Select1st<std::pair<aalta_formula const, int> >, std::equal_to<aalta_formula>, aalta_formula::af_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_allocate_node(std::pair<aalta_formula const, int> const&)
  0.44      2.13     0.01    85069     0.00     0.00  unsigned long const* std::lower_bound<unsigned long const*, unsigned long>(unsigned long const*, unsigned long const*, unsigned long const&)
  0.44      2.14     0.01    82481     0.00     0.00  Minisat::Clause::mark(unsigned int)
  0.44      2.15     0.01    66474     0.00     0.00  Minisat::Solver::drand(double&)
  0.44      2.16     0.01    53092     0.00     0.00  void std::swap<unsigned long>(unsigned long&, unsigned long&)
  0.44      2.17     0.01    33888     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_Hashtable(std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true> const&)
  0.44      2.18     0.01    29458     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::begin()
  0.44      2.19     0.01    12506     0.00     0.00  Minisat::Solver::level(int) const
  0.44      2.20     0.01     5276     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, std::equal_to<aalta_formula*>, aalta_formula::af_prt_hash, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_rehash(unsigned long)
  0.44      2.21     0.01     2733     0.00     0.00  std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_nodes(std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>**, unsigned long)
  0.44      2.22     0.01      817     0.00     0.00  aalta_formula::to_set()
  0.44      2.23     0.01        9     0.00     0.00  aalta_formula::contain(aalta_formula::poskind, int, aalta_formula::poskind, int, aalta_formula*)
  0.44      2.24     0.01        1     0.01     0.01  aalta_formula::destroy()
